,filename,frames,face_no,num_faces,top,right,bottom,left
36,88fe2a902a9d8cc7.mp4,20,0,1,59,280,122,218
37,88fe2a902a9d8cc7.mp4,40,0,2,59,280,122,218
38,88fe2a902a9d8cc7.mp4,40,1,2,135,287,198,225
39,88fe2a902a9d8cc7.mp4,60,0,1,66,280,129,218
40,88fe2a902a9d8cc7.mp4,80,0,1,59,287,122,225
41,88fe2a902a9d8cc7.mp4,100,0,1,66,287,129,225
42,88fe2a902a9d8cc7.mp4,120,0,1,66,280,129,218
43,88fe2a902a9d8cc7.mp4,140,0,1,66,266,129,204
44,88fe2a902a9d8cc7.mp4,160,0,1,63,270,138,196
45,88fe2a902a9d8cc7.mp4,180,0,1,55,287,130,212
46,88fe2a902a9d8cc7.mp4,200,0,1,59,273,122,211
47,88fe2a902a9d8cc7.mp4,220,0,1,55,270,130,196
48,88fe2a902a9d8cc7.mp4,240,0,1,55,262,130,187
49,88fe2a902a9d8cc7.mp4,260,0,1,66,259,129,197
50,88fe2a902a9d8cc7.mp4,280,0,1,55,287,130,212
51,88fe2a902a9d8cc7.mp4,300,0,1,63,278,138,204
52,88fe2a902a9d8cc7.mp4,320,0,1,55,287,130,212
53,1f3cbda142d0944a.mp4,0,0,1,66,273,129,211
54,1f3cbda142d0944a.mp4,20,0,1,55,287,130,212
55,1f3cbda142d0944a.mp4,40,0,1,59,280,122,218
56,1f3cbda142d0944a.mp4,60,0,1,66,280,129,218
57,1f3cbda142d0944a.mp4,80,0,1,59,287,122,225
58,1f3cbda142d0944a.mp4,100,0,1,66,287,129,225
59,1f3cbda142d0944a.mp4,120,0,1,66,280,129,218
60,1f3cbda142d0944a.mp4,140,0,1,66,266,129,204
61,1f3cbda142d0944a.mp4,160,0,1,63,270,138,196
62,1f3cbda142d0944a.mp4,180,0,1,55,287,130,212
63,1f3cbda142d0944a.mp4,200,0,1,59,273,122,211
64,1f3cbda142d0944a.mp4,220,0,1,55,270,130,196
65,1f3cbda142d0944a.mp4,240,0,1,59,259,122,197
66,1f3cbda142d0944a.mp4,260,0,1,55,262,130,187
67,1f3cbda142d0944a.mp4,280,0,1,55,287,130,212
68,1f3cbda142d0944a.mp4,300,0,1,63,278,138,204
69,1f3cbda142d0944a.mp4,320,0,1,59,280,122,218
70,63bed62257daccaf.mp4,0,0,1,66,273,129,211
71,63bed62257daccaf.mp4,20,0,1,59,280,122,218
72,63bed62257daccaf.mp4,40,0,1,59,280,122,218
73,63bed62257daccaf.mp4,60,0,1,66,280,129,218
74,63bed62257daccaf.mp4,80,0,1,59,287,122,225
75,63bed62257daccaf.mp4,100,0,1,66,287,129,225
76,63bed62257daccaf.mp4,120,0,1,66,280,129,218
77,63bed62257daccaf.mp4,140,0,1,66,266,129,204
78,63bed62257daccaf.mp4,160,0,1,63,270,138,196
79,63bed62257daccaf.mp4,180,0,1,55,287,130,212
80,63bed62257daccaf.mp4,200,0,1,59,273,122,211
81,63bed62257daccaf.mp4,220,0,1,55,270,130,196
82,63bed62257daccaf.mp4,240,0,1,59,259,122,197
83,63bed62257daccaf.mp4,260,0,1,66,259,129,197
84,63bed62257daccaf.mp4,280,0,1,55,287,130,212
85,63bed62257daccaf.mp4,300,0,1,63,278,138,204
86,63bed62257daccaf.mp4,320,0,1,55,287,130,212
87,ee8e8d4a59a95d5f.mp4,0,0,1,47,270,121,196
88,ee8e8d4a59a95d5f.mp4,20,0,1,47,270,121,196
89,ee8e8d4a59a95d5f.mp4,40,0,1,47,270,121,196
90,ee8e8d4a59a95d5f.mp4,60,0,1,47,270,121,196
91,ee8e8d4a59a95d5f.mp4,80,0,1,47,270,121,196
92,ee8e8d4a59a95d5f.mp4,100,0,1,47,262,121,187
93,ee8e8d4a59a95d5f.mp4,120,0,1,47,270,121,196
94,ee8e8d4a59a95d5f.mp4,140,0,1,47,262,121,187
95,ee8e8d4a59a95d5f.mp4,160,0,1,47,270,121,196
96,ee8e8d4a59a95d5f.mp4,180,0,1,47,270,121,196
97,ee8e8d4a59a95d5f.mp4,200,0,1,47,270,121,196
98,ee8e8d4a59a95d5f.mp4,220,0,1,47,270,121,196
99,ee8e8d4a59a95d5f.mp4,240,0,1,47,270,121,196
100,ee8e8d4a59a95d5f.mp4,260,0,1,47,270,121,196
101,ee8e8d4a59a95d5f.mp4,280,0,1,47,270,121,196
102,ee8e8d4a59a95d5f.mp4,300,0,1,47,270,121,196
103,ee8e8d4a59a95d5f.mp4,320,0,1,47,270,121,196
104,ee8e8d4a59a95d5f.mp4,340,0,1,47,270,121,196
105,ee8e8d4a59a95d5f.mp4,360,0,1,47,270,121,196
106,ee8e8d4a59a95d5f.mp4,380,0,1,47,270,121,196
107,ee8e8d4a59a95d5f.mp4,400,0,1,53,259,115,197
108,ee8e8d4a59a95d5f.mp4,420,0,1,47,270,121,196
109,ee8e8d4a59a95d5f.mp4,440,0,1,47,270,121,196
110,ee8e8d4a59a95d5f.mp4,460,0,1,47,270,121,196
111,04011d0f6efa6d85.mp4,0,0,1,47,270,121,196
112,04011d0f6efa6d85.mp4,20,0,1,47,270,121,196
113,04011d0f6efa6d85.mp4,40,0,1,47,270,121,196
114,04011d0f6efa6d85.mp4,60,0,1,47,270,121,196
115,04011d0f6efa6d85.mp4,80,0,1,47,270,121,196
116,04011d0f6efa6d85.mp4,100,0,1,47,262,121,187
117,04011d0f6efa6d85.mp4,120,0,1,47,270,121,196
118,04011d0f6efa6d85.mp4,140,0,1,47,262,121,187
119,04011d0f6efa6d85.mp4,160,0,1,47,270,121,196
120,04011d0f6efa6d85.mp4,180,0,1,47,270,121,196
121,04011d0f6efa6d85.mp4,200,0,1,47,270,121,196
122,04011d0f6efa6d85.mp4,220,0,1,47,270,121,196
123,04011d0f6efa6d85.mp4,240,0,1,47,270,121,196
124,04011d0f6efa6d85.mp4,260,0,1,47,270,121,196
125,04011d0f6efa6d85.mp4,280,0,1,47,270,121,196
126,04011d0f6efa6d85.mp4,300,0,1,47,270,121,196
127,04011d0f6efa6d85.mp4,320,0,1,47,270,121,196
128,04011d0f6efa6d85.mp4,340,0,1,47,270,121,196
129,04011d0f6efa6d85.mp4,360,0,1,47,270,121,196
130,04011d0f6efa6d85.mp4,380,0,1,47,270,121,196
131,04011d0f6efa6d85.mp4,400,0,1,47,270,121,196
132,04011d0f6efa6d85.mp4,420,0,1,47,270,121,196
133,04011d0f6efa6d85.mp4,440,0,1,47,270,121,196
134,04011d0f6efa6d85.mp4,460,0,1,47,270,121,196
135,cbcf9320b4e4d9f9.mp4,0,0,1,47,270,121,196
136,cbcf9320b4e4d9f9.mp4,20,0,1,47,270,121,196
137,cbcf9320b4e4d9f9.mp4,40,0,1,47,270,121,196
138,cbcf9320b4e4d9f9.mp4,60,0,1,47,270,121,196
139,cbcf9320b4e4d9f9.mp4,80,0,1,47,270,121,196
140,cbcf9320b4e4d9f9.mp4,100,0,1,47,262,121,187
141,cbcf9320b4e4d9f9.mp4,120,0,1,47,270,121,196
142,cbcf9320b4e4d9f9.mp4,140,0,1,47,262,121,187
143,cbcf9320b4e4d9f9.mp4,160,0,1,47,270,121,196
144,cbcf9320b4e4d9f9.mp4,180,0,1,47,270,121,196
145,cbcf9320b4e4d9f9.mp4,200,0,1,47,270,121,196
146,cbcf9320b4e4d9f9.mp4,220,0,1,47,270,121,196
147,cbcf9320b4e4d9f9.mp4,240,0,1,47,270,121,196
148,cbcf9320b4e4d9f9.mp4,260,0,1,47,270,121,196
149,cbcf9320b4e4d9f9.mp4,280,0,1,47,270,121,196
150,cbcf9320b4e4d9f9.mp4,300,0,1,47,270,121,196
151,cbcf9320b4e4d9f9.mp4,320,0,1,47,270,121,196
152,cbcf9320b4e4d9f9.mp4,340,0,1,47,270,121,196
153,cbcf9320b4e4d9f9.mp4,360,0,1,47,270,121,196
154,cbcf9320b4e4d9f9.mp4,380,0,1,47,270,121,196
155,cbcf9320b4e4d9f9.mp4,400,0,1,53,259,115,197
156,cbcf9320b4e4d9f9.mp4,420,0,1,47,270,121,196
157,cbcf9320b4e4d9f9.mp4,440,0,1,47,270,121,196
158,cbcf9320b4e4d9f9.mp4,460,0,1,47,270,121,196
159,262a25215787616d.mp4,0,0,1,53,266,115,204
160,262a25215787616d.mp4,20,0,1,53,266,115,204
161,262a25215787616d.mp4,40,0,1,53,266,115,204
162,262a25215787616d.mp4,60,0,1,55,262,107,210
163,262a25215787616d.mp4,80,0,1,53,266,115,204
164,262a25215787616d.mp4,100,0,1,53,259,115,197
165,262a25215787616d.mp4,120,0,1,53,266,115,204
166,262a25215787616d.mp4,140,0,1,55,256,107,204
167,262a25215787616d.mp4,160,0,1,46,266,108,204
168,262a25215787616d.mp4,180,0,1,55,256,107,204
169,262a25215787616d.mp4,200,0,1,53,266,115,204
170,262a25215787616d.mp4,220,0,1,53,266,115,204
171,262a25215787616d.mp4,240,0,1,53,266,115,204
172,262a25215787616d.mp4,260,0,1,53,266,115,204
173,262a25215787616d.mp4,280,0,1,55,262,107,210
174,262a25215787616d.mp4,300,0,1,49,262,101,210
175,262a25215787616d.mp4,320,0,1,53,266,115,204
176,262a25215787616d.mp4,340,0,1,53,266,115,204
177,262a25215787616d.mp4,360,0,1,53,266,115,204
178,262a25215787616d.mp4,380,0,1,55,256,107,204
179,262a25215787616d.mp4,400,0,1,55,256,107,204
180,262a25215787616d.mp4,420,0,1,53,266,115,204
181,262a25215787616d.mp4,440,0,1,53,266,115,204
182,262a25215787616d.mp4,460,0,1,46,266,108,204
183,fbca2df503111454.mp4,0,0,1,66,266,129,204
184,fbca2df503111454.mp4,20,0,1,72,256,124,204
185,fbca2df503111454.mp4,40,0,1,72,256,124,204
186,fbca2df503111454.mp4,60,0,1,73,266,135,204
187,fbca2df503111454.mp4,80,0,1,66,266,129,204
188,fbca2df503111454.mp4,100,0,1,66,252,129,190
189,fbca2df503111454.mp4,120,0,1,73,266,135,204
190,fbca2df503111454.mp4,140,0,1,72,250,124,199
191,fbca2df503111454.mp4,160,0,1,66,259,129,197
192,fbca2df503111454.mp4,180,0,1,66,259,129,197
193,fbca2df503111454.mp4,200,0,1,66,259,129,197
194,fbca2df503111454.mp4,220,0,1,72,256,124,204
195,fbca2df503111454.mp4,240,0,1,66,266,129,204
196,fbca2df503111454.mp4,260,0,1,66,259,129,197
197,fbca2df503111454.mp4,280,0,1,73,266,135,204
198,fbca2df503111454.mp4,300,0,1,66,266,129,204
199,fbca2df503111454.mp4,320,0,1,66,259,129,197
200,fbca2df503111454.mp4,340,0,1,66,266,129,204
201,fbca2df503111454.mp4,360,0,1,66,259,129,197
202,fbca2df503111454.mp4,380,0,1,66,259,129,197
203,fbca2df503111454.mp4,400,0,1,66,259,129,197
204,fbca2df503111454.mp4,420,0,1,66,266,129,204
205,fbca2df503111454.mp4,440,0,1,66,266,129,204
206,fbca2df503111454.mp4,460,0,1,66,266,129,204
